Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips 100-250,Number of Trips >=250
724994918,1027081088,739719092,47097509.11226415,22576469,10602241
873821053,1271765537,1017141583,53269844.92230261,23450868,10480393
889115519,1292523251,1043399200,55153552.797106005,24373344,10815349
879469995,1322671418,1072398482,58002051.988679245,26061661,10995586
886366822,1358111181,1038533821,58142628.13220019,25471995,10289280
805597752,1266739724,921959616,52300571.64591195,24482641,9962734
904765574,1272415819,1005065948,52526618.59723096,22753761,9731405
898611716,1266179365,1007362578,52160579.55870318,22413907,9872781
873200106,1270263803,1010441132,52681499.28382631,23126930,10266298
892658776,1292830514,1038493240,54316995.48347498,23820524,10487918
885811922,1328838396,1071293111,57225944.87421384,25546381,10670102
890128077,1364719435,1037600517,57516758.33700787,25054757,10023635
811516981,1275588628,923243254,51676677.570619695,24141248,9762113
894940952,1276703409,1010290937,52953661.40982059,23104287,9938083
896019102,1268700581,1010097873,52163410.884978004,22386282,9878067
874675026,1270503496,1016692594,53161665.83805031,23366685,10457830
891178374,1290773832,1041286263,55081731.347689405,24331637,10805519
881035422,1323575805,1071515540,57851708.71895631,26003959,11001364
887998565,1359277181,1038415538,58022765.051007554,25390804,10275230
806943048,1268247445,922549139,52478300.70408805,24614153,10077846
847487489,1271031988,976734825,55042957.9088337,24499163,10180846
889568619,1267380073,1010967666,52770676.39547312,22897283,10167910
873613352,1274490073,1024288179,53971522.385655865,23872866,10721051
883544336,1293968104,1050420719,56054055.90625983,24966655,11153427
871536738,1315583847,1074401399,58920996.76509434,26639326,11313956
880935432,1350276200,1039593819,58890040.860648006,25968627,10566477
798338565,1256371149,920105967,52740099.7170701,24689813,10047738
914586244,1268123638,999858838,52097602.07641509,22402362,9524335
910261791,1262472574,1001079811,51552044.490720354,21952891,9573504
871306471,1265809074,990374144,50908791.75967285,22136582,9621606
903228084,1293765421,1023801301,51815871.01730104,22164282,9504561
908259413,1352435255,1071960181,55112463.42290749,24074195,9734505
904769239,1389821392,1038768647,55839097.565586664,23909801,9265055
832399707,1307100860,930564830,49995090.06253929,23201802,9199856
878586300,1290136253,1024567741,54011074.95944671,23902610,10391903
891574591,1281053231,1022078656,52359685.74355751,22396314,9930065
882388314,1275973859,1039287841,54808683.40213635,24175024,11072269
890087622,1289421110,1053563481,57588931.10245129,25966531,11803171
869962990,1312714869,1076200204,59942477.17379007,27478047,12038761
885060608,1348122632,1044722246,59774233.16567117,26482324,11070227
796197439,1250870724,923963901,55093486.274897896,26134995,11062864
864193868,1247384292,1014191202,56496837.85835427,25536489,11748203
873482041,1268181875,1017371015,54804099.9513038,24520675,11077674
873732895,1291372996,1051064380,56617094.47720843,25492844,11553405
863904350,1308465069,1081930596,59195134.87213321,26951692,12241760
846250202,1296453342,1087205454,62378487.24811558,28676998,12297809
862935223,1328158902,1047017484,61734016.10056568,27812638,11486311
775438282,1225333208,916177089,53738233.91163522,25009701,9994404
812066986,1231473362,988064452,55389864.047798745,24396390,10301367
885920912,1272539720,1017117579,53484572.40980516,23396424,10452373
876898175,1282818772,1038276024,55146188.08236404,24533833,11096749
879562401,1300302116,1063746269,57537151.78277271,25897683,11677154
863978087,1310660811,1081042744,60422047.572864324,27556843,11816573
877036753,1344531011,1044961117,60152026.071675576,26751540,11002229
791370517,1246715843,921084553,53642211.84025157,25128522,10247082
856307022,1248670225,1025287422,56712277.01383213,25550798,11791963
860332900,1252572227,1024460459,54767664.47548711,24189058,11036842
885821120,1329132113,1076017818,52553823.02768166,21727594,9632766
873861121,1335177560,1092232586,54261998.68081761,22664858,9954434
860061816,1306615349,1081483615,60914854.860823125,27902778,12050550
875014423,1340266448,1045572718,60553096.54242615,27016700,11186232
787673184,1240963580,920411920,54158246.04993719,25427154,10433793
860236302,1248015113,1019741400,56603804.17122212,25544053,11769611
873253124,1264439339,1019642586,54352659.87177876,24017320,10854748
878826707,1301113961,1055123416,54766826.26932747,23928391,10758902
872452830,1314664364,1079306768,56994782.630899936,25176214,11291930
916304700,1411737661,1173555143,64476925.4577708,28911232,12261880
930520083,1442484605,1130153826,64266616.85234056,28079646,11432576
842893785,1342797695,999769828,57233008.54913658,26348517,10527417
948306203,1415731532,1165853525,61654366.68812814,26786855,12268182
931172802,1370250217,1118736690,57794168.07723705,24774076,11192836
947128481,1430287195,1162884326,56575575.21193092,23265774,10332046
943619559,1443092240,1184243046,58542685.4967033,24305523,10677843
981579816,1539944814,1276512156,66095630.210179076,28366147,11745093
990791799,1564316332,1224855692,66392132.39767002,27585103,10947981
903500120,1455191216,1084430482,60552584.286163524,27403896,10844286
975125132,1473759953,1218033474,63070205.58068575,26885729,12299932
979367773,1476037716,1224348692,61580878.48142318,25657325,11655207
1013764577,1572811702,1285322868,58207165.59286165,22182970,9686378
1008184099,1583925299,1304603109,59865093.67582938,22967654,9822267
1037654195,1669862435,1388191620,67579233.19602273,27433705,10975199
1041599074,1683806062,1324638583,68380231.42256637,26718819,10240646
956122913,1562359623,1170816442,63632392.203036055,28139338,10887453
1032300963,1562098705,1305148101,68334261.45471758,29328276,13613957
1026004511,1558689985,1311402504,66891730.35883655,28166159,12987715
1091207781,1715321236,1401627097,60228680.09671302,21603360,9252575
1072594235,1717167647,1413867217,61489232.853804864,22133953,9215308
1017980829,1674848812,1398818213,64894793.40998105,25094791,9718935
1020056453,1678763932,1329197756,66116200.295921594,24464008,9067816
945032427,1572158826,1186549954,62410315.47503161,26769296,10063675
1040256768,1582800918,1306376595,66572218.62801014,28014564,12744619
1047185204,1585653081,1314588025,65114556.244781785,26730567,12090051
1078597735,1678931256,1374313823,62012755.26643489,23502106,10269086
1077359425,1693709541,1396707718,63815608.03291139,24356737,10401723
1042017008,1681095840,1396025943,67223629.0645774,27032846,10745205
1043695446,1693527599,1331113971,68077930.61501901,26328632,10030037
957139629,1562486111,1170100623,63629661.52388485,28210277,10942001
1028676365,1589844453,1322340596,65881894.86148008,27084484,12361560
1030487699,1589900180,1333968174,64845802.11198988,26036396,11838064
1076829697,1710330451,1405695535,60024411.44764315,21271185,9154120
1073343528,1722776590,1424931864,61512062.456356734,21891313,9109137
1032232813,1700321382,1416243689,64881961.99208861,24777470,9506193
1029456101,1703026581,1344412014,66064945.31042129,24147738,8881077
949210181,1568204889,1180402577,62826143.03709575,27297301,10383918
1028943233,1615194466,1334195237,63654013.14960381,25141834,11237779
1040533728,1619696547,1350061637,62850896.961636014,24151592,10772466
1063093048,1694902761,1399235833,60538183.74104596,21712046,9428805
1075436684,1718698114,1426557486,62285575.127180465,22474704,9434575
1049712631,1719563069,1426852962,65564704.56988564,25220073,9705237
1043672074,1724202937,1355084528,66747164.8790964,24570275,9078105
956097353,1562397155,1170856027,63607182.2637084,28134008,10885945
1032675253,1595961426,1320986064,65385887.05082071,26751986,12115264
1039427381,1598402841,1332893661,64292363.35067802,25647455,11567780
1072904895,1694701245,1393106392,60882282.66561514,22174211,9617711
1075394815,1711748196,1416104647,62552186.91522219,22911143,9647875
1041422302,1700350456,1413089675,65929716.93226213,25686457,9986381
1038988846,1706948348,1343594818,66972478.61258697,25017100,9330938
954220248,1564361753,1173796082,63408643.65952756,27890749,10738798
1030152797,1600341409,1325870033,64987681.59779528,26336231,11904804
1036886800,1602675304,1338996001,64013944.783060454,25284767,11393366
1070973767,1700003563,1399369301,60506908.19968504,21728834,9400817
1074727066,1717738320,1422554259,62126202.1540404,22426265,9397976
1041201908,1706762569,1418750500,65479508.63983586,25229137,9733494
1037445315,1711367264,1347756875,66640369.924581885,24589335,9096801
953203710,1564968805,1175032263,63306384.32524425,27763516,10670813
952489568,1591454512,1284722245,50048225.141191304,17194317,12934507
1004993530,1653096950,1334045977,50635859.85439647,16561131,12824494
986934934,1633556637,1332165811,50943919.90226986,17042473,13660477
1028982776,1681824172,1358480847,52878610.53642384,17834828,12780459
958018952,1664578785,1366979349,56667169.24936948,20603768,12994963
972337039,1662022696,1292745882,58383894.85525071,20338365,13200476
813394974,1456205091,1141684855,55969512.42604856,22018608,15480380
907165656,1531800162,1249403100,50767676.305485494,17995149,15068250
991963425,1612255544,1320982726,50385041.84169032,16955333,14483452
1007436704,1620738160,1339993106,52161080.71077505,17819806,15336008
961734303,1590669893,1338618998,53640918.35338583,18916826,15786940
1025060409,1678239652,1394152884,58284997.80327353,21625376,15915515
1018590698,1661570485,1322759556,58693312.74881815,20803530,15018093
882895574,1504788400,1152440409,55001443.09331652,23004229,15805719
953505354,1576600861,1303691400,51096053.84314961,18004088,15722453
1010624587,1642711492,1351394672,51020737.7607942,17011433,15318527
1023814923,1658721662,1370385660,52451547.981411465,17604746,14543815
941510866,1585110531,1327633114,53871590.20573409,19231797,14464597
996600558,1667326835,1386421835,61337298.56391688,24428871,15511143
1044361820,1698042445,1332981660,61584582.172979794,23248026,15380456
1009170340,1640520201,1253813382,59542169.92670651,22782453,15273409
888349719,1509984698,1113271597,57585200.59332704,24836654,15433729
1055090891,1703769160,1378150678,53702257.03302925,18590963,13512673
1061194652,1708448101,1402116569,53232482.993077405,17828919,13580579
1022350556,1678611603,1394183245,54367902.94175063,18605045,13708050
1098575858,1793133500,1474836781,60262943.01417323,22144267,13727131
1073439813,1749346793,1347758682,60189303.051702395,21464922,13773880
974261983,1615581589,1216966928,57641336.971041866,23717951,15034275
1096791470,1758741590,1408137789,54209336.75684177,18894335,13672770
1033065044,1663712343,1369579150,53065520.04751416,17684522,13055613
969215468,1594679842,1341595331,53449839.85358942,17875896,13365701
1079319642,1718515648,1427916106,56473893.521259844,19308531,14063129
1133481042,1783555712,1471238814,61369587.52550378,22885878,14323546
1122671240,1785362363,1393552204,61939773.491968505,21766967,13214390
931192931,1578927115,1194665151,59078145.53809824,24927193,15188015
958231537,1617368387,1321879555,54959091.46395971,19416351,13196488
988082650,1634502572,1367161565,53328590.75133774,17741631,13190800
975231307,1598778344,1358427832,54471097.51275591,18614412,13478122
992537305,1610474449,1368182919,56277354.223763004,19500532,13307817
1041157881,1685947477,1433013002,62489029.75542965,22900992,13089180
1062513175,1723266010,1370334713,63598060.36613056,21802460,11599444
863293541,1459194691,1145245955,60583929.85358942,24330879,13427235
957451766,1560829897,1301813446,54788488.63845186,19166975,12913193
938086107,1566237968,1326244994,53260442.16698113,17600187,11888901
1004409137,1643465494,1354213925,54436488.65775401,17745495,10549872
951152240,1598123154,1331895011,56383871.559748426,19071816,10941153
1009103243,1683370994,1387422248,61354004.079245284,22009957,11108981
1077179039,1745678679,1345023462,62918131.51385391,21950323,11101438
905639008,1518549063,1179808398,60578632.42362205,25404937,15650974
964459628,1587394216,1326925511,55615946.93917428,19913534,14162899
926488112,1555861224,1342209527,54949186.95448799,19153337,13942038
952594576,1565820545,1353589293,55909130.445463166,19569800,13236855
939208039,1545386804,1358795778,57810824.00759013,20826350,13361663
1006192185,1634452276,1407055120,61890401.29610883,23394027,14097048
1028132437,1670012024,1351725221,63668443.16598036,23172513,14112929
905096290,1517846290,1187844942,61249676.83312143,26039472,16139866
950401419,1568713847,1327551298,55824947.873051226,20200745,14549305
921223766,1550892782,1342251609,55046808.57711919,19471294,14503700
944432013,1559612838,1358720941,56103173.011132315,19931123,13577786
801219398,1378650904,1148125167,58609629.445576064,23540401,14242228
1018412396,1650975186,1432857132,62072106.72469764,23393094,14005354
1030359569,1677178733,1373236270,63872452.37507987,23151161,14147749
908611471,1552422460,1224015770,61741551.63924456,26379343,16216308
954404098,1584185259,1360725730,55688228.14687303,20055238,15299478
964289249,1601403595,1379526801,53804750.28702532,18403013,14440765
967293247,1603696982,1391471001,54871037.39841772,18979057,14033680
989556458,1635269497,1420829638,56418766.33639531,19669284,13751900
1024505982,1695549957,1462721646,61540604.54637544,22889042,13861324
1039546015,1720522693,1402179576,63659863.8693038,22654920,13868694
897063080,1566179061,1242686772,60942594.96521189,25840085,16813489
957630997,1604744775,1375431729,54415330.278937384,19447242,15904031
972311768,1629300548,1395365032,52692263.692064494,17880343,14849357
1015747320,1684719513,1435685766,54066738.03034134,17750058,12862895
980069369,1649027835,1425791669,54801787.26249209,19055045,16176364
1038480531,1731111060,1487231829,61526245.9089184,22666119,13886330
1057156207,1754131247,1425355652,63680096.33512658,22309714,13708791
894637416,1578964630,1257170580,60687724.446275756,25689857,17130073
966363431,1622309723,1392332200,54049408.78648477,19291065,16441810
978059984,1641478107,1410606367,52399777.79022533,17661321,15037353
1033320681,1713069464,1457436500,53727300.72891566,17328206,12756279
958575663,1640877355,1421296619,54225895.66423358,19143966,17476842
1026760865,1726448913,1484747325,61219612.537948556,22682242,14493069
1048587988,1751603519,1425058620,63580908.37555697,22450897,14390667
907915155,1617135215,1277749179,61327658.26456542,25396629,14348412
990140026,1651337648,1422214461,54203388.83768301,18672216,15342329
988562906,1657975727,1430095271,52090319.25309622,17130181,14930917
1008803607,1682719988,1455227335,53612907.754369244,18002940,15959515
993370076,1692048123,1467360993,55434465.07394478,19721940,16356161
1017253551,1752648905,1504480794,60597154.42249047,22545753,15732315
1049331774,1780421993,1447618772,63373244.901372485,22428074,15593561
878851758,1553690047,1251094798,59789542.53261558,25786369,20228346
951369626,1610957196,1379532574,53520515.49730757,19606795,18080952
973300349,1637181012,1406571258,52415560.31750554,17980343,15332979
1075415250,1771852486,1481541350,53524919.192149416,16138760,9445817
902276429,1581571891,1370936639,52468328.38009479,18778535,19897455
1024523520,1695541267,1462765307,61547847.0,22906604,13862120
1039564115,1720527742,1402270265,63620177.11202531,22649478,13868913
897055313,1566183296,1242731887,60935094.83776091,25889572,16812991
957603254,1604711961,1375439530,54411304.91711484,19487527,15904687
972326890,1629307410,1395378373,52693630.780063294,17877242,14849081
1015764605,1684740584,1435682852,54066393.92979127,17808945,12862772
980059103,1649009927,1425798178,54817348.08067068,19102284,16176258
1038472263,1731116754,1487281105,61526908.290903345,22655054,13887955
1057164267,1754122206,1425360699,63675342.72810623,22301458,13709151
894646047,1578986283,1257236206,60699466.88493064,25691469,17130937
966409494,1622360724,1392431563,54059866.20397226,19289500,16442861
978078138,1641487054,1410729351,52417429.3116924,17661230,15038070
1033333528,1713092460,1457506085,53746158.02111566,17346330,12756241
958574214,1640883317,1421376656,54250335.485975415,19202547,17477036
1026737084,1726443009,1484841522,61237414.70230211,22700272,14494296
1048705958,1751698215,1425105056,63612196.82288055,22470539,14390850
890191688,1566277197,1250349964,60471499.059753396,25782434,18057582
958485239,1612705170,1382459439,54000303.82674676,19448490,16809397
974556352,1635974251,1404226440,52510275.614046186,17842999,15073447
1041470988,1723236109,1458237081,53784839.71853258,17118546,11688153
946984635,1623848340,1406016514,53839050.97944339,19043034,17850604
1029908149,1717710361,1478291220,61437147.96515679,22754127,14081675
1048464985,1742119404,1417534550,63644883.76182915,22477739,13989473
1010260450,1795952042,1384302935,64265284.29798142,23888602,15647343
960163034,1700650746,1259917724,65465228.06976,28224075,15993641
975387957,1636836022,1404954441,52485174.04048454,17779965,15025516
1034662628,1713824742,1454357303,53780924.36346215,17288388,12234345
956063142,1633646951,1414173306,54089091.835038364,19097094,17461982
1030094481,1722791528,1481803129,61343455.00576,22727501,14190930
1049790319,1747299329,1421243714,63595187.78653846,22432688,14082821
950941620,1683444698,1318553642,62409060.09076382,24857426,16702979
961086589,1615955654,1385744274,53990110.371701114,19403640,16685429
1028626678,1658828904,1429940922,52100068.32963198,17093006,13969549
1062407672,1713729660,1468866362,52837308.71337984,16445456,11172676
1003678413,1651600263,1439637469,53655459.26736441,18174420,15228319
1074605404,1739496765,1508981503,60906328.93303713,21827452,12729174
1092108866,1760410034,1446751536,63277432.169475354,21563124,12566143
986394862,1677005535,1328239623,62013108.10145847,24371782,15013838
1030893793,1644449859,1419361755,53374463.75981013,18305021,14300370
1076101272,1672092271,1451030794,51528937.37170948,16271098,12269793
1103098622,1715979510,1485697755,52172645.84581218,15855200,10143392
1043583630,1654032670,1459103816,53343425.68684628,17258725,12899798
1108673263,1743478447,1527318896,60057322.145800315,20800829,11165132
1109957559,1750549855,1452896773,61946223.19249125,20411714,10872892
971322752,1607789765,1288782135,59296950.06095238,22989824,13014686
1033663340,1594349482,1394464152,50871738.38539682,16496554,11456893
1072553869,1626225011,1428760421,49540002.55203046,14997316,10247128
1108020743,1680292045,1442899573,49121772.92124484,14830525,9076900
1055311415,1625225920,1439579312,51099340.95036589,15883789,10619012
1110282803,1710113643,1505753020,57842157.049268916,19381174,9551991
1103260892,1710249496,1430616375,59946800.158548236,19145068,9225434
968165821,1552257071,1255438279,56754133.98208,21713376,11140424
1039468287,1546882459,1369928490,49026164.48135048,14896951,8902511
1069599928,1576993382,1404782052,48330408.89225375,13963043,8481238
1088385554,1611497402,1408154093,47429855.74336,13884398,7876456
1052780446,1577025024,1415052331,49645376.17080245,14778842,8433904
1101389138,1658508374,1476933865,55923017.88460292,18314202,8074367
1089507134,1659684309,1403717507,57995515.536728695,18118220,7637636
967143243,1495977039,1225717456,54447393.461639345,20730174,9425225
1065487443,1524085226,1364783917,47334707.392330386,13398452,6306845
1065747797,1530665640,1381288197,46880130.60361842,12958903,6764661
1077558746,1555682312,1380914161,45990747.17291256,13020513,6676404
1054672634,1533522407,1395786886,48464912.78522838,13696427,6221334
1097091707,1607438726,1448677467,53532874.82791152,16721620,6434794
1091300279,1624662416,1385080872,55575094.87316117,16693737,6042829
951553306,1427919297,1187072236,51705880.34370861,19575805,7686695
1267645024,1652426241,1435546485,62708719.67546174,24492772,16335474
1022449746,1477781723,1343368302,45823251.08360982,12552952,6060681
1034122764,1493304603,1335110071,45464916.47949316,12818381,6490004
1003016659,1461645521,1340875098,47347347.90739507,13437047,6277538
1041326403,1530197716,1387586520,51740971.35652463,16356378,6457472
1037162840,1556737943,1325124878,53271897.11697479,16399570,6115678
909169639,1373131379,1138017517,49127158.673320025,18823384,7670780
969958507,1408546020,1283085285,45714164.94477711,12943022,6113882
976866375,1422126485,1301935717,45558946.52372995,12982337,6184183
986183510,1444383787,1289230665,45967414.45342237,14132001,6775214
964998603,1416036312,1298890976,46179272.46148782,13230094,6385885
1005075302,1475950685,1331622464,51068749.04807375,16581697,6598905
1002880621,1504804670,1278748767,52675815.5122842,17222244,6679081
913234623,1371307488,1132566356,50277701.64236679,20471784,8578994
972481988,1416012387,1286342854,43940882.268213004,12055994,5294267
957677170,1407320986,1292981196,42533516.11310886,11296438,4898054
1058239615,1533587093,1239119980,38476226.31465517,12239662,6949224
1016916371,1490798102,1317579913,42880665.7681537,12230563,5979738
1038929651,1556659604,1374183050,50322732.00618892,15594457,6113784
1016591802,1546705769,1309854313,53497595.73363874,16071031,5824261
929889433,1396396572,1146680885,49488101.86314408,18557887,7410680
984222488,1427081864,1288423876,46701694.6353211,13026720,6453736
960239737,1391374078,1285066463,46373425.318285905,12627070,6196288
935838162,1370569663,1280613532,45325764.65859247,12588841,6232944
942070698,1392581162,1291396303,47074672.03726708,13604628,6536083
984808518,1464880436,1337577111,52038668.62504097,17356264,6807405
981002690,1493719441,1286639815,54171180.10062479,17305288,6154720
945769717,1400395163,1169618815,51228488.19055428,19990591,8139997
928799076,1351723769,1221017847,46811598.62606418,14603702,7008243
956172043,1403395549,1288871403,45815006.536849,12795578,6447836
980495973,1433083184,1319342170,47210526.78,12899746,6236224
964652149,1415939457,1318534525,48019884.751965925,13605007,6390117
1007887398,1466808021,1341012834,49159168.32874016,14826956,5977752
1058294066,1572288471,1328956707,51255825.22947577,15307163,6091467
875909993,1346565967,1127550850,48695154.85521996,19172478,7999809
963260610,1407385279,1292702763,44548861.57763975,12137342,5828176
1025640755,1484558986,1341460783,45137210.161702126,12487406,6253033
956384295,1403136445,1299187178,46326710.427821524,12491421,6065773
936263658,1364823819,1268582418,47079949.57568807,13443135,6628201
975046629,1421167231,1313764975,50585729.35484928,16514086,7058643
993759555,1474864153,1250247186,51444412.86339697,16768650,6902738
907570343,1363701573,1114107673,47316274.82772148,18675183,8306329
959425467,1383209560,1265682505,47799340.17950392,14570180,6878915
984605866,1423797153,1303202527,48419501.411553524,15808275,7158908
999581935,1481575093,1309595569,52659527.36286368,20502544,8412439
812391665,1183525996,1085415487,58104158.322011754,19526293,7048849
1017135475,1470509403,1292523494,53345009.50995106,18642511,7034570
966556420,1437273116,1219085557,53347915.26115485,20780328,8446224
905502896,1348883875,1104239021,54674767.77561779,26003791,11035145
990841699,1431736291,1284075985,46735904.692434214,14231582,7653255
1016409390,1464095041,1339769755,47707271.585357845,13308963,7014618
988020123,1424993535,1320598490,45952468.86657903,13105726,6969144
954522239,1416470833,1318241407,47771755.73046619,13492191,7154522
978667616,1483202030,1369760195,50756248.27395456,15681305,6956205
955426359,1486364597,1305603663,50960930.65841584,14904861,6134965
944462780,1441123139,1203810662,49380539.04898367,17648206,8586253
988178786,1462161338,1302514673,44724663.45478548,13234282,7062524
939661961,1419565253,1331296025,47496043.34772577,13200798,6766321
931158639,1412690264,1328005412,47897661.43758213,13540840,6957884
931260501,1419046291,1350391995,49623786.55884287,14404881,7180722
953289722,1478279168,1386294487,52642192.667324126,16716917,7323746
931192109,1494626655,1330515105,54111137.318677686,16757981,6747847
820484397,1356243281,1168542292,48524728.01971739,18561884,8228494
915213178,1401548380,1296110341,47034772.78104575,13646313,7061138
919910560,1411690036,1314067797,45399218.50114416,13516123,7049730
923208469,1429149389,1347189120,45594235.91593065,12665647,6019059
982778500,1484696465,1360950605,47627373.92423745,14410215,7414866
1013210173,1575328589,1454316656,55594334.408478476,18285341,7957975
960063137,1524347988,1348890402,56509493.02667106,19529038,7572603
886857663,1437553327,1248128385,52577276.69539667,20145213,8683191
981408516,1526704561,1372052985,54109657.578396074,18583170,9640694
908690449,1450716264,1274671872,52051734.91798515,18766031,9536880
710198698,1057312586,1013911063,58136467.48760863,21239841,10817244
789731347,1297775121,1189490563,54335337.89797232,21666555,9375288
803247412,1332587142,1254607849,55590453.64267352,21541718,9021572
807143343,1347800511,1193129125,54815245.99774339,21413471,9037387
650940620,1145642726,995634678,49282260.52047345,22584545,10388042
705251617,1328537931,1124144114,38780736.83317476,13105648,4986584
980168717,1716360891,1488613389,50067841.144578315,14690589,4835246
692502957,1062128899,811829010,47629268.48056427,22734252,7727628
882444628,1302901219,1071779490,55194739.377742946,21593193,6558487
902691333,1362688335,1114109805,57209820.16645768,23472827,7026840
834248409,1301559462,1004195862,56154633.42677955,23784703,7245749
735244449,1181313963,878498211,47614122.82795362,24081718,8213773
884479921,1304210869,1071054195,52742754.612033844,18953422,6312700
908337349,1325396730,1087609089,52501067.16045127,17923110,5899217
