sex,race,age_group,is_parent,diff_2018_2021
FEMALE,Black,18-29,No,-0.4029304
FEMALE,Black,18-29,Yes,-0.4972527
FEMALE,Black,30-44,No,0.15837104
FEMALE,Black,30-44,Yes,-0.1774005
FEMALE,Black,45-59,No,0.8125
FEMALE,Black,45-59,Yes,-0.1768116
FEMALE,Black,60-74,No,-0.8333333
FEMALE,Black,60-74,Yes,-0.1879252
FEMALE,Black,75+,No,-1.5
FEMALE,Black,75+,Yes,-0.7777778
FEMALE,Other,18-29,No,-0.3303571
FEMALE,Other,18-29,Yes,0.14285714
FEMALE,Other,30-44,No,-0.377193
FEMALE,Other,30-44,Yes,-0.2113821
FEMALE,Other,45-59,No,-0.25
FEMALE,Other,45-59,Yes,0.05391304
FEMALE,Other,60-74,No,0.66666667
FEMALE,Other,60-74,Yes,0.07692308
FEMALE,Other,75+,Yes,0.4
FEMALE,White,18-29,No,-0.0938596
FEMALE,White,18-29,Yes,0.125
FEMALE,White,30-44,No,-0.2481481
FEMALE,White,30-44,Yes,-0.2584885
FEMALE,White,45-59,No,-0.2277666
FEMALE,White,45-59,Yes,-0.2402299
FEMALE,White,60-74,No,-0.4478992
FEMALE,White,60-74,Yes,-0.175437
FEMALE,White,75+,No,-0.1140351
FEMALE,White,75+,Yes,-0.3444723
MALE,Black,18-29,No,0.08695652
MALE,Black,18-29,Yes,-1
MALE,Black,30-44,No,0.07692308
MALE,Black,30-44,Yes,-0.4375
MALE,Black,45-59,No,-0.6222222
MALE,Black,45-59,Yes,-0.030303
MALE,Black,60-74,No,0.33333333
MALE,Black,60-74,Yes,-0.210989
MALE,Black,75+,Yes,0.42424242
MALE,Other,18-29,No,-0.3833333
MALE,Other,18-29,Yes,-0.047619
MALE,Other,30-44,No,-0.2
MALE,Other,30-44,Yes,0.0030303
MALE,Other,45-59,No,-0.4107143
MALE,Other,45-59,Yes,0.21087533
MALE,Other,60-74,No,1
MALE,Other,60-74,Yes,-0.46
MALE,Other,75+,Yes,0
MALE,White,18-29,No,-0.2321513
MALE,White,18-29,Yes,-0.5935673
MALE,White,30-44,No,-0.1707894
MALE,White,30-44,Yes,-0.2359356
MALE,White,45-59,No,-0.2429654
MALE,White,45-59,Yes,-0.1949165
MALE,White,60-74,No,-0.2780822
MALE,White,60-74,Yes,-0.0979021
MALE,White,75+,No,0.31111111
MALE,White,75+,Yes,-0.217012